filepath,binary_label,transform_label,width,height,is_corrupted
data/RRDataset_original_train_val/train/ai/Natural_Disasters_&_Accidents_000321.png,fake,original,512,512,False
data/RRDataset_original_train_val/train/ai/Political_&_Social_Events_000622.png,fake,original,1024,1024,False
data/RRDataset_original_train_val/train/ai/normal_008147.png,fake,original,1024,1024,False
data/RRDataset_original_train_val/train/ai/Medical_&_Public_Health_000084.png,fake,original,512,512,False
data/RRDataset_original_train_val/train/ai/production_000698.png,fake,original,1024,1024,False
data/RRDataset_original_train_val/train/ai/Political_&_Social_Events_000130.png,fake,original,512,512,False
data/RRDataset_original_train_val/train/ai/Political_&_Social_Events_000874.png,fake,original,1024,1024,False
data/RRDataset_original_train_val/train/ai/War_&_Conflict_Scenes_000044.png,fake,original,512,512,False
data/RRDataset_original_train_val/train/ai/production_000923.png,fake,original,1024,1024,False
data/RRDataset_original_train_val/train/ai/normal_008227.png,fake,original,1024,1024,False
data/RRDataset_original_train_val/train/ai/Political_&_Social_Events_000805.png,fake,original,1024,1024,False
data/RRDataset_original_train_val/train/ai/Medical_&_Public_Health_000424.png,fake,original,512,512,False
data/RRDataset_original_train_val/train/ai/War_&_Conflict_Scenes_000205.png,fake,original,512,512,False
data/RRDataset_original_train_val/train/ai/normal_006842.jpg,fake,original,512,341,False
data/RRDataset_original_train_val/train/ai/Culture_&_Religion_000402.png,fake,original,512,512,False
data/RRDataset_original_train_val/train/ai/normal_007574.png,fake,original,256,256,False
data/RRDataset_original_train_val/train/ai/Medical_&_Public_Health_000036.png,fake,original,512,512,False
data/RRDataset_original_train_val/train/ai/normal_006400.jpg,fake,original,450,240,False
data/RRDataset_original_train_val/train/ai/Medical_&_Public_Health_000299.png,fake,original,512,512,False
data/RRDataset_original_train_val/train/ai/normal_009190.png,fake,original,512,512,False
data/RRDataset_original_train_val/train/ai/Political_&_Social_Events_000504.png,fake,original,1024,1024,False
data/RRDataset_original_train_val/train/ai/War_&_Conflict_Scenes_000214.png,fake,original,512,512,False
data/RRDataset_original_train_val/train/ai/Political_&_Social_Events_000464.png,fake,original,512,512,False
data/RRDataset_original_train_val/train/ai/normal_007945.png,fake,original,256,256,False
data/RRDataset_original_train_val/train/ai/Culture_&_Religion_000127.png,fake,original,512,512,False
data/RRDataset_original_train_val/train/ai/normal_007404.png,fake,original,256,256,False
data/RRDataset_original_train_val/train/ai/production_000013.png,fake,original,512,512,False
data/RRDataset_original_train_val/train/ai/normal_006365.jpg,fake,original,764,509,False
data/RRDataset_original_train_val/train/ai/Medical_&_Public_Health_000247.png,fake,original,512,512,False
data/RRDataset_original_train_val/train/ai/normal_006117.jpg,fake,original,764,1358,False
data/RRDataset_original_train_val/train/ai/production_000124.png,fake,original,512,512,False
data/RRDataset_original_train_val/train/ai/Medical_&_Public_Health_000867.png,fake,original,1024,1024,False
data/RRDataset_original_train_val/train/ai/normal_006415.jpg,fake,original,450,450,False
data/RRDataset_original_train_val/train/ai/normal_007571.png,fake,original,256,256,False
data/RRDataset_original_train_val/train/ai/normal_007358.png,fake,original,256,256,False
data/RRDataset_original_train_val/train/ai/normal_006619.jpg,fake,original,450,750,False
